F_A6,F_B6,F_C6,F_D6,F_E6,F_F6,F_G6,F_H6,F_I6,F_J6
2149.320068359375,4242.14013671875,3097.199951171875,2187.679931640625,2288.4599609375,4789.8798828125,2147.800048828125,4857.9599609375,2879.699951171875,2154.219970703125
2154.320068359375,4276.14013671875,3112.580078125,2211.56005859375,2283.080078125,4786.419921875,2151.10009765625,4864.60009765625,2880.760009765625,2153.280029296875
2146.8798828125,4292.85986328125,3110.139892578125,2205.760009765625,2289.419921875,4793.759765625,2152.4599609375,4855.83984375,2893.260009765625,2145.419921875
2153.320068359375,4319.22021484375,3107.5,2224.6201171875,2283.239990234375,4819.18017578125,2154.699951171875,4849.2998046875,2896.5400390625,2165.699951171875
2146.60009765625,4315.06005859375,3124.10009765625,2217.419921875,2308.340087890625,4849.02001953125,2157.340087890625,4896.35986328125,2898.56005859375,2159.56005859375
2145.199951171875,4298.740234375,3114.5,2209.0400390625,2291.3798828125,4804.81982421875,2168.820068359375,4847.89990234375,2894.360107421875,2165.719970703125
2145.8798828125,4313.080078125,3121.60009765625,2224.60009765625,2298.5,4842.66015625,2165.300048828125,4893.919921875,2906.719970703125,2162.260009765625
2159.659912109375,4321.66015625,3117.5,2217.139892578125,2290.260009765625,4863.419921875,2158.840087890625,4870.6201171875,2883.199951171875,2180.5400390625
2146.080078125,4307.64013671875,3087.93994140625,2210.800048828125,2314.760009765625,4875.02001953125,2163.239990234375,4865.1201171875,2886.93994140625,2157.47998046875
2156.97998046875,4334.7001953125,3131.360107421875,2223.0,2320.9599609375,4891.3798828125,2163.56005859375,4884.39990234375,2895.340087890625,2175.6201171875
2148.8798828125,4306.22021484375,3104.300048828125,2216.239990234375,2313.56005859375,4857.2998046875,2156.4599609375,4859.259765625,2882.56005859375,2167.639892578125
2165.800048828125,4337.10009765625,3123.5400390625,2221.820068359375,2320.179931640625,4907.89990234375,2163.800048828125,4918.7001953125,2904.60009765625,2168.639892578125
2156.97998046875,4369.77978515625,3129.699951171875,2229.739990234375,2322.0,4936.52001953125,2155.840087890625,4925.3798828125,2898.840087890625,2166.840087890625
2157.300048828125,4370.9599609375,3145.139892578125,2234.080078125,2319.9599609375,4961.0400390625,2162.0,4935.66015625,2922.659912109375,2166.239990234375
2172.5400390625,4387.97998046875,3146.840087890625,2239.4599609375,2332.56005859375,4968.33984375,2188.93994140625,4961.1201171875,2908.919921875,2168.159912109375
2151.52001953125,4385.47998046875,3159.4599609375,2239.5400390625,2322.9599609375,5009.81982421875,2167.93994140625,4980.9599609375,2910.699951171875,2176.300048828125
2165.97998046875,4410.9599609375,3179.4599609375,2211.47998046875,2324.760009765625,5031.72021484375,2182.159912109375,5008.10009765625,2928.719970703125,2158.39990234375
2160.659912109375,4439.47998046875,3188.5400390625,2227.52001953125,2313.3798828125,5059.2001953125,2165.360107421875,5022.0400390625,2934.43994140625,2163.97998046875
2147.419921875,4429.85986328125,3173.1201171875,2226.280029296875,2301.89990234375,5061.33984375,2158.159912109375,5010.3798828125,2938.419921875,2152.3798828125
2129.919921875,4430.8798828125,3159.5,2212.97998046875,2306.5400390625,5089.83984375,2140.5,5060.4599609375,2929.280029296875,2145.5400390625
2144.679931640625,4459.06005859375,3195.93994140625,2240.6201171875,2314.4599609375,5124.64013671875,2146.919921875,5072.3798828125,2954.860107421875,2159.199951171875
2135.3798828125,4465.4599609375,3178.419921875,2210.52001953125,2307.06005859375,5103.0400390625,2141.60009765625,5054.6201171875,2918.0400390625,2140.739990234375
2147.580078125,4488.81982421875,3217.239990234375,2231.0,2315.679931640625,5125.5,2155.179931640625,5047.580078125,2943.06005859375,2160.219970703125
2141.639892578125,4484.77978515625,3214.360107421875,2228.6201171875,2324.89990234375,5149.43994140625,2151.39990234375,5066.35986328125,2953.360107421875,2155.10009765625
2146.780029296875,4486.89990234375,3185.760009765625,2229.780029296875,2332.8798828125,5162.919921875,2158.699951171875,5085.22021484375,2951.719970703125,2158.159912109375
2134.780029296875,4466.5,3179.320068359375,2190.860107421875,2296.52001953125,5131.240234375,2132.5400390625,5061.759765625,2932.4599609375,2143.3798828125
2104.639892578125,4431.72021484375,3150.199951171875,2175.5,2273.080078125,5126.8798828125,2090.639892578125,5027.22021484375,2906.179931640625,2108.5
2067.419921875,4382.1201171875,3100.60009765625,2134.0400390625,2218.760009765625,5062.9599609375,2073.02001953125,4987.72021484375,2868.280029296875,2066.159912109375
2015.760009765625,4339.02001953125,3082.89990234375,2105.699951171875,2203.840087890625,5060.5400390625,2021.8800048828125,4933.740234375,2831.739990234375,2041.1800537109373
1991.9200439453125,4320.43994140625,3052.1201171875,2072.43994140625,2174.4599609375,5017.2001953125,1998.5400390625,4938.72021484375,2793.139892578125,2002.1400146484373
1947.5400390625,4270.56005859375,3011.47998046875,2025.8199462890625,2120.93994140625,4996.3798828125,1961.0,4889.18017578125,2749.179931640625,1968.5
1924.3399658203125,4226.22021484375,2952.6201171875,1997.219970703125,2083.47998046875,4977.5400390625,1913.219970703125,4831.35986328125,2710.179931640625,1932.0799560546875
1889.739990234375,4223.0400390625,2949.02001953125,1976.3599853515625,2072.8798828125,4977.56005859375,1907.280029296875,4838.97998046875,2705.580078125,1909.260009765625
1874.280029296875,4196.85986328125,2915.93994140625,1955.52001953125,2049.659912109375,4939.740234375,1886.93994140625,4798.43994140625,2675.39990234375,1889.6199951171875
1868.739990234375,4231.580078125,2949.580078125,1951.8599853515625,2052.60009765625,4970.2001953125,1878.97998046875,4834.81982421875,2702.4599609375,1878.8599853515625
1833.1400146484373,4219.1201171875,2921.219970703125,1939.300048828125,2042.56005859375,4966.240234375,1868.56005859375,4820.64013671875,2682.659912109375,1858.3399658203125
1835.4200439453125,4226.080078125,2940.260009765625,1920.1400146484373,2029.8800048828125,4981.3798828125,1862.0,4821.919921875,2674.780029296875,1844.1800537109373
1834.780029296875,4221.93994140625,2935.340087890625,1918.8800048828125,2035.02001953125,4994.14013671875,1853.8599853515625,4828.9599609375,2653.320068359375,1856.0799560546875
1817.9200439453125,4239.68017578125,2929.0,1919.0,2015.9599609375,5023.64013671875,1850.6400146484373,4859.14013671875,2672.580078125,1836.199951171875
1829.9000244140625,4250.93994140625,2943.02001953125,1909.1199951171875,2022.8800048828125,5080.5400390625,1845.0799560546875,4883.3798828125,2687.860107421875,1841.52001953125
1821.719970703125,4242.740234375,2942.300048828125,1925.3399658203125,2020.300048828125,5080.10009765625,1845.5999755859373,4875.27978515625,2697.43994140625,1845.260009765625
1819.1600341796875,4280.60009765625,2967.179931640625,1903.719970703125,2022.699951171875,5136.02001953125,1840.9200439453125,4903.47998046875,2697.580078125,1833.8399658203125
1818.9200439453125,4301.919921875,2968.02001953125,1917.6199951171875,2028.5,5185.93994140625,1850.300048828125,4930.4599609375,2693.760009765625,1840.3199462890625
1827.3399658203125,4343.22021484375,2976.760009765625,1914.47998046875,2033.3199462890625,5216.02001953125,1845.8800048828125,4982.22021484375,2711.159912109375,1851.739990234375
1813.760009765625,4321.1201171875,2941.139892578125,1908.699951171875,2031.5,5199.3798828125,1843.43994140625,4962.0,2705.159912109375,1833.280029296875
1817.52001953125,4320.9599609375,2982.02001953125,1907.1800537109373,2025.8399658203125,5225.5400390625,1835.6400146484373,4999.60009765625,2715.840087890625,1826.699951171875
1828.02001953125,4364.14013671875,2999.02001953125,1916.02001953125,2033.6800537109373,5233.85986328125,1850.8199462890625,5011.77978515625,2724.60009765625,1838.1800537109373
1795.800048828125,4339.7998046875,2937.719970703125,1900.219970703125,2013.52001953125,5239.9599609375,1825.6800537109373,4985.580078125,2689.739990234375,1815.6400146484373
1807.3399658203125,4386.27978515625,2967.1201171875,1905.699951171875,2032.56005859375,5289.2001953125,1840.8599853515625,5036.02001953125,2716.659912109375,1833.260009765625
